Category,Department Sequence
RX+TINT+TC+TMC+E&M,DS:TS:QC - DS:QC - TS|TINT:TINT - QC|TMC|FITT:FITT - QC|MOUNTING|DISPATCH
RX+TINT+TC+TMC+E,DS:TS:QC - DS:QC - TS|TINT:TINT - QC|TMC|FITT:FITT - QC|DISPATCH
RX+TC+TMC+E&M,DS:TS:QC - DS:QC - TS|TMC|FITT:FITT - QC|MOUNTING|DISPATCH
RX+TC+TMC+E,DS:TS:QC - DS:QC - TS|TMC|FITT:FITT - QC|DISPATCH
RX+TC+TMC,DS:TS:QC - DS:QC - TS|TMC|DISPATCH
RX+TINT+TC+E&M,DS:TS:QC - DS:QC - TS|TINT:TINT - QC|TC:STRIPPING:Ultra|FITT:FITT - QC|MOUNTING|DISPATCH
RX+TINT+TC+E,DS:TS:QC - DS:QC - TS|TINT:TINT - QC|TC:STRIPPING:Ultra|FITT:FITT - QC|DISPATCH
RX+TINT+TC+TMC,DS:TS:QC - DS:QC - TS|TINT:TINT - QC|TMC|DISPATCH
RX+TC+E&M,DS:TS:QC - DS:QC - TS|TC:STRIPPING:Ultra|FITT:FITT - QC|MOUNTING|DISPATCH
RX+TC+E,DS:TS:QC - DS:QC - TS|TC:STRIPPING:Ultra|FITT:FITT - QC|DISPATCH
RX+TC,DS:TS:QC - DS:QC - TS|TC:STRIPPING:Ultra|DISPATCH
RX+TINT+E&M,DS:TS:QC - DS:QC - TS|TINT:TINT - QC|FITT:FITT - QC|MOUNTING|DISPATCH
RX+TINT+E,DS:TS:QC - DS:QC - TS|TINT:TINT - QC|FITT:FITT - QC|DISPATCH
RX+TINT,DS:TS:QC - DS:QC - TS|TINT:TINT - QC|DISPATCH
RX Uncoat FITT,DS:TS:QC - DS:QC - TS|FITT:FITT - QC|DISPATCH
RX Uncoat,DS:TS:QC - DS:QC - TS|DISPATCH
Stock+TINT+TC+TMC+E&M,TINT:TINT - QC|TMC|FITT:FITT - QC|MOUNTING|DISPATCH
Stock+TINT+TC+TMC+E,TINT:TINT - QCTMC|FITT:FITT - QC|DISPATCH
Stock+TINT+TC+E&M,TINT:TINT - QC|TC:STRIPPING:Ultra|FITT:FITT - QC|MOUNTING|DISPATCH
Stock+TINT+TC+E,TINT:TINT - QC|TC:STRIPPING:Ultra|FITT:FITT - QC|DISPATCH
Stock+TC+TMC+E&M,TC:STRIPPING:Ultra|TMC|FITT:FITT - QC|MOUNTING|DISPATCH
Stock+TC+TMC+E,TC:STRIPPING:Ultra|TMC|FITT:FITT - QC|DISPATCH
Stock+TC+TMC,TC:STRIPPING:Ultra|TMC|DISPATCH
Stock+TINT,TINT:TINT - QC|DISPATCH
Stock+TMC,TMC|DISPATCH
Stock+TC,TC:STRIPPING:Ultra|DISPATCH
Stock+M,FITT:FITT - QC|MOUNTING|DISPATCH
Stock+E,FITT:FITT - QC|DISPATCH
Stock+Dispatch,DISPATCH
Cancelled,Cancelled
Other-Branch,Other-Branch
